t_start,t_end,ID_old,ID_new,t_added,name,comment
2024-01-30T17:00:00Z,2024-01-30T18:00:00Z,all,NA,2024-01-31T17:40:00Z,MeganOstlie,Particulate Filter Changed
2024-03-12T16:35:00Z,2024-03-12T17:05:00Z,all,NA,2024-06-19T19:32:00Z,MeganOstlie,Particulate filter changed
2024-06-04T18:40:00Z,2024-06-04T19:10:00Z,all,NA,2024-06-19T19:32:00Z,MeganOstlie,Particulate filter changed
2024-07-10T17:30:00Z,2024-07-10T18:20:00Z,all,NA,2024-07-22T16:28:00Z,MeganOstlie,Calibration
2024-07-18T16:45:00Z,2024-07-18T18:45:00Z,all,NA,2024-07-22T16:30:00Z,MeganOstlie,Calibration
2024-07-24T16:50:00Z,2024-07-24T18:20:00Z,all,NA,2024-07-29T21:19:00Z,MeganOstlie,Calibration check
2024-07-31T20:30:00Z,2024-07-31T21:10:00Z,all,NA,2024-07-31T21:40:00Z,MeganOstlie,Calibration check
