t_start,t_end,ID_old,ID_new,t_added,name,comment
2024-01-30T17:00:00Z,2024-01-30T18:00:00Z,all,NA,2024-01-31T17:37:00Z,MeganOstlie,Particulate Filter Changed
2024-06-04T18:40:00Z,2024-06-04T19:20:00Z,all,NA,2024-06-19T19:15:00Z,MeganOstlie,Particulate Filter Changed
2024-06-11T19:30:00Z,2024-06-11T22:30:00Z,all,NA,2024-06-19T19:18:00Z,MeganOstlie,Yearly maintenance performed
2024-06-13T18:55:00Z,2024-06-13T20:30:00Z,all,NA,2024-06-19T19:22:00Z,MeganOstlie,Calibration
2024-07-10T16:30:00Z,2024-07-10T17:00:00Z,all,NA,2024-07-22T16:15:00Z,MeganOstlie,Particulate Filter Changed
2024-07-10T19:00:00Z,2024-07-10T21:00:00Z,all,NA,2024-07-22T16:17:00Z,MeganOstlie,Calibration
2024-07-19T16:00:00Z,2024-07-20T00:00:00Z,all,NA,2024-07-22T16:13:00Z,MeganOstlie,Calibration
2024-07-25T16:00:00Z,2024-07-25T21:10:00Z,all,NA,2024-07-29T21:05:00Z,MeganOstlie,Calibration check
2024-07-31T16:45:00Z,2024-07-31T20:34:00Z,all,NA,2024-07-31T21:42:00Z,MeganOstlie,Calibration
2024-08-08T17:35:00Z,2024-08-08T20:10:00Z,all,NA,2024-08-08T21:49:00Z,MeganOstlie,Calibration check
2024-08-13T18:05:00Z,2024-08-13T21:31:00Z,all,NA,2024-08-13T22:17:00Z,MeganOstlie,Calibration check
2024-08-19T17:15:00Z,2024-08-19T20:41:00Z,all,NA,2024-08-19T21:16:00Z,MeganOstlie,Calibration check
2024-08-29T14:15:00Z,2024-08-29T17:05:00Z,all,NA,2024-08-29T20:58:00Z,MeganOstlie,Calibration check
