t_start,t_end,miu_old,miu_new,t_added,name,comment
2015-09-25T00:00:00Z,2015-09-30T17:00:00Z,-1,406.58,2018-03-07T19:32:48Z,Ryan,replace std values
2015-09-25T00:00:00Z,2015-09-30T17:00:00Z,-2,486.80,2018-03-07T19:32:48Z,Ryan,replace std values
2015-09-25T00:00:00Z,2015-09-30T17:00:00Z,-3,573.06,2018-03-07T19:32:48Z,Ryan,replace std values
2015-10-01T21:20:00Z,2015-10-02T01:30:00Z,all,NA,2018-03-07T19:32:48Z,Doug,strange values after storm
2015-10-04T21:14:00Z,2015-10-05T00:00:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-10T22:20:00Z,2015-10-11T00:00:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-12T20:50:00Z,2015-10-13T01:30:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-13T20:35:00Z,2015-10-14T01:24:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-14T20:10:00Z,2015-10-15T01:15:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-15T20:24:00Z,2015-10-16T01:27:00Z,all,NA,2018-03-07T19:32:48Z,Ben,instrument issues with storm
2015-10-16T15:22:00Z,2015-10-16T16:13:10Z,all,NA,2018-03-07T19:32:48Z,Ben,Ryan and doug on site
2016-07-18T16:00:00Z,2016-08-16T00:08:00Z,473.06,573.06,2018-03-07T19:32:48Z,Doug,wrong std3 input
2015-09-29T20:29:00Z,2015-09-30T20:38:20Z,all,NA,2018-03-07T19:32:48Z,Nick,No atmospheric data just errant cals.
2015-10-16T14:10:00Z,2015-10-16T18:00:00Z,all,NA,2018-03-07T19:32:48Z,Nick,jump in cals.
2016-01-15T16:11:00Z,2016-01-15T20:00:00Z,all,NA,2018-03-07T19:32:48Z,Nick,Jump in cals.
2016-02-05T22:11:00Z,2016-02-06T02:00:00Z,all,NA,2018-03-07T19:32:48Z,Nick,Jump in cals.
2016-04-05T19:38:30Z,2016-04-05T20:15:00Z,0,NA,2018-03-07T19:32:48Z,Nick,Bad cal.
2016-05-02T14:11:00Z,2016-05-02T18:00:00Z,all,NA,2018-03-07T19:32:48Z,Nick,Jump in cals.
2016-05-13T20:10:00Z,2016-05-14T00:00:00Z,all,NA,2018-03-07T19:32:48Z,Nick,Jump in cals.
2017-03-21T00:00:00Z,2017-03-27T00:00:00Z,-1,405.96,2018-03-07T19:32:48Z,Doug,replace std values
2017-03-21T00:00:00Z,2017-03-27T00:00:00Z,-2,489.74,2018-03-07T19:32:48Z,Doug,replace std values
2017-03-21T00:00:00Z,2017-03-27T00:00:00Z,-3,557.56,2018-03-07T19:32:48Z,Doug,replace std values
2017-03-21T00:00:00Z,2017-03-27T00:00:00Z,556.34,557.56,2018-03-07T19:32:48Z,Doug,entered wrong value
2017-03-28T00:00:00Z,2017-03-31T01:30:00Z,-1,405.96,2018-03-07T19:32:48Z,Doug,replace std values
2017-03-28T00:00:00Z,2017-03-31T01:30:00Z,-2,489.74,2018-03-07T19:32:48Z,Doug,replace std values
2017-03-28T00:00:00Z,2017-03-31T01:30:00Z,-3,557.56,2018-03-07T19:32:48Z,Doug,replace std values
2017-06-04T21:49:00Z,2017-06-05T02:15:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-06-03T21:23:00Z,2017-06-04T02:20:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-31T23:23:00Z,2017-06-01T01:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-29T21:50:00Z,2017-05-20T02:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-23T20:30:00Z,2017-05-23T20:41:30Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-11T22:40:00Z,2017-05-12T01:15:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-04T23:45:00Z,2017-05-05T00:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-05-06T00:00:00Z,2017-05-06T00:20:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Random bad data
2017-06-05T20:08:00Z,2017-06-06T02:00:00Z,all,NA,2018-03-07T19:32:48Z,Ben,Licor step function to 46
2017-05-29T20:07:30Z,2017-05-30T02:01:00Z,all,NA,2018-03-07T19:32:48Z,Ben,Licor step function to 46
2017-06-06T20:30:00Z,2017-06-06T20:38:00Z,all,NA,2018-03-07T19:32:48Z,Doug,on site
2017-06-19T20:00:00Z,2017-07-20T16:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,power blown on Metone
2016-12-27T21:00:00Z,2017-04-13T00:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,parsing issue
2017-10-06T18:15:00Z,2017-10-07T01:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Site over heating
2017-10-07T18:15:00Z,2017-10-07T01:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Site over heating
2017-10-09T18:15:00Z,2017-10-10T01:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Site over heating
2017-10-10T20:35:00Z,2017-10-10T23:00:00Z,all,NA,2018-03-07T19:32:48Z,Doug,Site over heating
