t_start, t_end, miu_old, miu_new, comment
2015-01-01 00:00:00.000, 2015-11-18 10:19:00.000, all, NA, Ben: Start of dataset.
2016-01-14 16:49:55.000, 2016-02-12 21:04:09.000, all, NA, Ben: MIU failure.
2016-01-19 13:00:00.000, 2016-01-19 16:30:00.000, all, NA, Ryan: Bad data.
2016-03-11 11:30:00.000, 2016-02-13 12:30:00.000, all, NA, Ryan: Bad CO2 cal.  Ch4 looks ok.
2016-04-04 12:06:19.000, 2016-04-04 15:38:09.000, all, NA, Ben: Bad calibration following outage.
2016-04-13 21:30:00.000, 2016-04-14 19:00:00.000, all, NA, Ryan: Bad Data.
