t_start,t_end,ID_old,ID_new,t_added,name,comment
2020-07-27T14:55:06Z,2020-07-27T15:29:53Z,all,NA,2022-01-04T22:01:17Z,Logan,Cal gas leakage
2020-07-27T23:06:40Z,2020-07-28T00:04:06Z,all,NA,2022-01-04T22:01:34Z,Logan,Cal gas leakage
2020-07-28T05:09:07Z,2020-07-28T06:05:16Z,all,NA,2022-01-04T22:01:42Z,Logan,Cal gas leakage
2020-07-28T15:36:58Z,2020-07-28T16:05:00Z,all,NA,2022-01-04T22:01:57Z,Logan,Cal gas leakage
2020-07-28T21:09:50Z,2020-07-28T22:07:39Z,all,NA,2022-01-04T22:02:05Z,Logan,Cal gas leakage
2020-07-29T08:03:18Z,2020-07-29T09:08:08Z,all,NA,2022-01-04T22:02:17Z,Logan,Cal gas leakage
2020-07-30T04:02:26Z,2020-07-30T04:15:35Z,all,NA,2022-01-04T22:03:50Z,Logan,Cal gas leakage and lat spike
2020-07-30T19:51:18Z,2020-07-30T22:13:44Z,all,NA,2022-01-04T22:02:51Z,Logan,Cal gas leakage
2020-08-08T00:11:33Z,2020-08-08T01:53:56Z,all,NA,2022-01-04T22:10:56Z,Logan,CO2 spike
2021-04-30T15:51:21Z,2021-04-30T19:06:33Z,all,NA,2022-01-04T22:38:26Z,Logan,Cal gas leakage
2021-05-19T19:00:11Z,2021-05-19T20:01:58Z,all,NA,2022-01-04T22:41:44Z,Logan,Low CH4 spike
2021-06-22T21:00:01Z,2021-06-22T23:05:50Z,all,NA,2022-01-04T22:46:56Z,Logan,CO2 spike
2022-10-28T00:00:00Z,2023-01-23T22:25:00Z,all,NA,2023-02-07T22:00:00,JamesM,RPi GPIO pins not set correctly~ only measuring atm
2023-06-08T00:00:00Z,2023-07-21T16:55:00Z,all,NA,2023-07-21T21:30:00,JamesM,LGR off site to test
2024-05-22T00:00:00Z,2024-05-23Z15:50:00Z,all,NA,2024-06-03T22:30:00,JamesM,air-trend flow not passing ID
2024-05-23T15:50:00Z,2024-05-23T20:32:00Z,all,NA,2024-06-03T22:30:00,JamesM,lgr reading too high despite recent calibration
2024-05-29T19:00:00Z,2024-05-30T20:23:00Z,all,NA,2024-06-03T22:30:00,JamesM,co2 has insane spike then stuck as -0.01
2024-06-22T16:37:50Z,2024-06-25T16:50:00Z,all,NA,2024-06-26T16:58:00,JamesM,co2 laser off but reset after cycling power
