t_start,t_end,ID_old,ID_new,t_added,name,comment
2020-08-01T22:10:00Z,2020-08-01T23:30:00Z,-3,489.39,2022-02-16T22:12:00Z,MeganOstlie,Missing cal tank values
2020-08-01T22:10:00Z,2020-08-01T23:30:00Z,-2,460.42,2022-02-16T22:13:00Z,MeganOstlie,Missing cal tank values
2020-08-01T22:10:00Z,2020-08-01T23:30:00Z,-1,396.72,2022-02-16T22:13:00Z,MeganOstlie,Missing cal tank values
2020-08-02T00:00:00Z,2020-09-10T18:33:00Z,-4,436.3,2021-04-24T23:04:00Z,JohnLin,Missing cal tank values
2020-08-02T00:00:00Z,2020-09-10T18:33:00Z,-3,489.39,2021-04-24T23:04:00Z,JohnLin,Missing cal tank values
2020-08-02T00:00:00Z,2020-09-10T18:33:00Z,-2,460.42,2021-04-24T23:04:00Z,JohnLin,Missing cal tank values
2020-08-02T00:00:00Z,2020-09-10T18:33:00Z,-1,396.72,2021-04-24T23:04:00Z,JohnLin,Missing cal tank values
2021-06-08T02:07:00Z,2021-06-25T18:00:00Z,all,NA,2022-02-16T21:23:00Z,MeganOstlie,Drop in cal tank and ambient air values
2021-08-15T19:00:00Z,2021-08-16T02:10:00Z,-3,489.39,2022-02-16T21:09:00Z,MeganOstlie,Missing cal tank values
2021-08-15T19:00:00Z,2021-08-16T02:10:00Z,-2,454.19,2022-02-16T21:10:00Z,MeganOstlie,Missing cal tank values
2021-08-15T19:00:00Z,2021-08-16T02:10:00Z,-1,394.56,2022-02-16T21:11:00Z,MeganOStlie,Missing cal tank values
2021-08-16T03:00:00Z,2021-10-30T00:00:00Z,all,NA,2021-12-23T14:40:00Z,JohnLin,Unstable cals; remove this time period
2021-10-30T00:00:00Z,2021-11-18T18:19:00Z,413.54,NA,2021-12-23T14:40:00Z,JohnLin,Suspect that 413.54 ppm cal tank is erroneous (should have higher ppm value) so set to NA while waiting for actual tank value
2021-11-18T18:20:00Z,2021-12-10T22:00:00Z,-4,436.3,2021-12-20T03:13:00Z,JohnLin,Missing cal tank values
2021-11-18T18:20:00Z,2021-12-10T22:00:00Z,-3,501.59,2021-12-20T03:13:00Z,JohnLin,Missing cal tank values
2021-11-18T18:20:00Z,2021-12-10T22:00:00Z,-2,443.15,2021-12-20T03:13:00Z,JohnLin,Missing cal tank values
2021-11-18T18:20:00Z,2021-12-10T22:00:00Z,-1,NA,2021-12-22T14:52:00Z,JohnLin,Suspect that 413.54 ppm cal tank is erroneous (should have higher ppm value) so set to NA while waiting for actual tank value
