t_start,t_end,miu_old,miu_new,t_added,name,comment
2016-07-19T08:43:35Z,2016-07-19T08:44:35Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-19T11:55:55Z,2016-07-19T11:56:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-19T15:08:05Z,2016-07-19T15:09:05Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-19T18:20:10Z,2016-07-19T18:21:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-19T21:32:30Z,2016-07-19T21:33:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T00:44:35Z,2016-07-20T00:45:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T03:56:55Z,2016-07-20T03:57:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T07:09:05Z,2016-07-20T07:10:05Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T10:21:20Z,2016-07-20T10:22:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T13:33:30Z,2016-07-20T13:34:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T16:45:45Z,2016-07-20T16:46:45Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T19:57:55Z,2016-07-20T19:58:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-20T23:10:10Z,2016-07-20T20:11:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T02:22:30Z,2016-07-21T02:23:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T05:34:40Z,2016-07-21T05:35:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T08:46:55Z,2016-07-21T08:47:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T11:59:05Z,2016-07-21T12:00:05Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T15:11:20Z,2016-07-21T15:12:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T18:23:30Z,2016-07-21T18:24:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-21T21:35:45Z,2016-07-21T21:36:45Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T00:47:55Z,2016-07-22T00:48:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T04:00:15Z,2016-07-22T04:01:15Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T07:12:25Z,2016-07-22T07:13:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T10:24:40Z,2016-07-22T10:25:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T13:36:50Z,2016-07-22T13:37:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T16:49:00Z,2016-07-22T16:50:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T20:01:15Z,2016-07-22T20:02:15Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-22T23:13:25Z,2016-07-22T23:14:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T02:25:40Z,2016-07-23T02:26:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T05:37:50Z,2016-07-23T05:38:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T08:50:10Z,2016-07-23T08:51:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T12:02:25Z,2016-07-23T12:03:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T15:14:35Z,2016-07-23T15:15:35Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T18:26:50Z,2016-07-23T18:27:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-23T21:39:00Z,2016-07-23T21:40:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T00:51:10Z,2016-07-24T00:52:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T04:03:25Z,2016-07-24T04:04:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T07:15:35Z,2016-07-24T07:16:35Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T10:27:53Z,2016-07-24T10:28:53Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T13:40:00Z,2016-07-24T13:41:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T16:52:20Z,2016-07-24T16:53:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T20:04:30Z,2016-07-24T20:05:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T00:51:10Z,2016-07-24T00:52:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-24T23:46:45Z,2016-07-24T23:47:45Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T02:28:55Z,2016-07-25T02:29:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T05:41:15Z,2016-07-25T05:42:15Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T08:53:25Z,2016-07-25T08:54:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T12:05:30Z,2016-07-25T12:06:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T15:17:40Z,2016-07-25T15:19:10Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T18:30:00Z,2016-07-25T18:31:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-25T21:42:20Z,2016-07-25T21:43:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T00:54:25Z,2016-07-26T00:55:25Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T04:06:35Z,2016-07-26T04:07:35Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T07:18:50Z,2016-07-26T07:19:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T10:31:00Z,2016-07-26T10:32:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T13:43:20Z,2016-07-26T13:44:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T16:55:30Z,2016-07-26T16:56:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T20:07:45Z,2016-07-26T20:08:45Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-26T23:19:55Z,2016-07-26T23:20:55Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-27T05:44:20Z,2016-07-27T05:45:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-27T08:56:40Z,2016-07-27T08:57:40Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-27T12:05:50Z,2016-07-27T12:06:50Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-07-27T15:21:00Z,2016-07-27T15:22:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Not enough flush
2016-09-23T20:00:40Z,2016-09-23T20:01:20Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-11-14T22:08:40Z,2016-11-14T22:09:15Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-11-15T20:56:05Z,2016-11-15T20:57:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2016-11-22T19:39:00Z,2016-11-22T20:21:45Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2017-01-20T16:09:00Z,2017-01-20T17:32:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal on reboot
2017-02-11T01:30:26Z,2017-02-11T01:36:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal during large data gap
2017-03-30T15:03:00Z,2017-03-30T15:30:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cals on reboot
2017-04-12T17:00:00Z,2017-04-12T21:03:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad data after reboot
2017-05-09T22:08:30Z,2017-05-09T22:10:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad cal after reboot
2017-07-27T15:50:30Z,2017-07-27T15:51:30Z,all,NA,2018-08-13T21:27:14Z,Ryan,Bad data druing large data gap
2017-09-24T22:20:00Z,2017-10-27T14:08:10Z,~415.19~2.731,NA,2018-08-13T21:27:14Z,Ryan,Issues with tank
2017-11-06T11:00:00Z,2017-11-07T14:53:17Z,~392.94~2.67,NA,2018-08-13T21:27:14Z,Ryan,Tank empty and drifting
2017-12-13T23:13:20Z,2018-01-03T18:48:57Z,~468.05~2.694,NA,2018-08-13T21:27:14Z,Ryan,strange issue with the tank looks like it was not open
2017-12-26T18:48:57Z,2017-12-26T18:57:16Z,all,NA,2018-08-13T21:27:14Z,Ryan,bad data on reboot
2017-12-20T21:53:00Z,2017-12-20T21:56:00Z,all,NA,2018-08-13T21:27:14Z,Ryan,Atmospheric obs impacted by tand pressure issue above
2018-05-02T20:35:00Z,2018-05-02T20:45:00Z,all,NA,2018-08-13T21:27:14Z,Nick,Half of cal is bad
2015-04-16T01:00:00Z,2015-06-06T07:30:00Z,all,NA,2018-10-02T13:29:00Z,Ryan,Bad CH4 cals
2015-07-24T00:01:00Z,2015-07-27T23:00:00Z,all,NA,2018-10-07T12:15:00Z,Ryan,Bad CH4 RMSE Conv
2015-08-26T12:00:00Z,2015-11-26T00:01:00Z,all,NA,2018-10-07T12:18:00Z,Ryan,Bad CH4 RMSE conv
